FID,OBJECTID,osm_id,code,fclass,name,Shape_Leng,AREA,Shape__Area,Shape__Length
80,1078,113882536,8221,wetland, ,5954.720323,5954.720323,6.24E-06,0.019179367
81,1100,113882567,8200,water,Barrett Lake,4754.128693,4754.128693,3.37E-06,0.015173979
82,1101,113882571,8200,water, ,6540.331992,6540.331992,2.32E-06,0.021176337
83,1103,1592416,8221,wetland, ,11212.24827,11212.24827,1.34E-05,0.032214159
84,1135,113882625,8200,water,Spatterdock Lake,20399.12259,20399.12259,3.17E-05,0.065765497
85,1139,113882651,8221,wetland, ,4021.43377,4021.43377,1.88E-06,0.012669517
86,1204,113882762,8221,wetland, ,8833.465338,8833.465338,3.45E-05,0.026459621
87,1214,113882772,8200,water, ,4034.488971,4034.488971,6.98E-06,0.013152127
88,1221,113882779,8200,water, ,3762.5392,3762.5392,2.75E-06,0.011044017
89,1244,113882864,8200,water,Cedar Knoll Farm Lake,5229.143125,5229.143125,6.44E-06,0.016633422
90,1246,113882868,8200,water, ,4756.168776,4756.168776,1.22E-05,0.015124153
91,1282,113882991,8200,water, ,4384.900559,4384.900559,5.45E-06,0.013763776
92,1292,1592418,8221,wetland, ,5972.773296,5972.773296,1.02E-05,0.019049794
93,1318,113883073,8200,water, ,7907.460869,7907.460869,6.25E-06,0.023774176
94,1339,113883132,8200,water, ,3554.764856,3554.764856,1.38E-06,0.011888827
95,1342,113883137,8200,water, ,5471.283421,5471.283421,3.82E-06,0.016638987
96,1347,1592419,8200,water, ,9839.878392,9839.878392,6.11E-06,0.030316844
97,1372,1592420,8200,water,Lake Sainte Louise,14367.08803,14367.08803,3.02E-05,0.046726292
98,1377,113883227,8200,water, ,5252.361564,5252.361564,1.62E-05,0.016282142
99,1380,113883243,8200,water,Poeling Lake,9648.363028,9648.363028,5.68E-06,0.02934962
100,1404,1592422,8200,water,August A Busch Lake Number 16,5058.719982,5058.719982,5.48E-06,0.016075227
101,1423,113883409,8221,wetland, ,4396.768084,4396.768084,1.24E-05,0.013582521
102,1424,113883410,8221,wetland, ,8097.308713,8097.308713,3.30E-05,0.023597975
103,1447,113883438,8200,water, ,7335.93219,7335.93219,4.05E-06,0.022337909
104,1453,113883470,8200,water,Busch Area Lake Number 40,9042.698952,9042.698952,1.41E-05,0.027706792
105,1496,1592423,8200,water, ,14167.66995,14167.66995,1.30E-05,0.046877396
106,1513,113883604,8200,water,Mononame 207 Reservoir,5996.419876,5996.419876,9.38E-06,0.018761637
107,1518,113883610,8200,water, ,4861.534801,4861.534801,3.61E-06,0.015017415
108,1546,113883684,8200,water,Twin Lakes,4263.885806,4263.885806,4.31E-06,0.012689412
109,1592,113883767,8221,wetland, ,7352.860139,7352.860139,5.79E-06,0.024112046
110,1623,113883805,8200,water, ,7790.117813,7790.117813,1.95E-06,0.025455524
111,1690,1592425,8200,water, ,5994.182989,5994.182989,7.30E-06,0.019317845
112,1697,113883987,8200,water, ,4021.358251,4021.358251,2.39E-06,0.012631843
113,1718,113884018,8200,water, ,6720.360034,6720.360034,6.21E-06,0.019899078
114,1738,113884097,8200,water,August A Busch Lake Number 6,4594.638996,4594.638996,8.34E-06,0.014517766
115,1740,113884099,8200,water,Airport Lake,12658.72644,12658.72644,9.57E-06,0.041623351
116,1769,113884150,8200,water, ,10564.5148,10564.5148,1.63E-05,0.030362671
117,1775,1592426,8200,water, ,64897.15975,64897.15975,0.000190783,0.206592281
118,1789,1592427,8201,reservoir,Busch Area Lake Number 51,5936.530617,5936.530617,6.41E-06,0.019149666
119,1819,113884310,8221,wetland, ,8534.22337,8534.22337,4.43E-06,0.028245377
120,1848,113884372,8221,wetland, ,13232.59795,13232.59795,9.68E-05,0.041232667
121,1851,113884386,8200,water, ,6923.922252,6923.922252,6.57E-06,0.020555924
122,1855,1592429,8200,water,Long Lake,32515.44515,32515.44515,2.86E-05,0.108583846
123,1857,113884419,8200,water, ,5710.979408,5710.979408,5.44E-06,0.019356113
124,1880,113884444,8200,water, ,3971.618554,3971.618554,1.45E-06,0.013684047
125,1882,113884446,8221,wetland, ,8027.251603,8027.251603,3.07E-05,0.023434536
126,1908,113884483,8200,water, ,3890.402507,3890.402507,2.72E-06,0.012345331
127,1914,113884508,8200,water,August A Busch Lake Number 8,4121.514343,4121.514343,6.30E-06,0.012580459
128,1933,113884554,8221,wetland, ,11687.99258,11687.99258,2.28E-05,0.035067344
129,1952,113884580,8200,water, ,6665.613814,6665.613814,1.01E-05,0.020066534
130,1961,113884592,8200,water,Howard F Brewer Lake,3490.179646,3490.179646,4.31E-06,0.011002488
131,1974,113884615,8200,water, ,5760.913618,5760.913618,8.05E-06,0.017792056
132,1975,113884621,8200,water, ,3768.746682,3768.746682,9.89E-07,0.011989778
133,1981,113884686,8221,wetland, ,10244.6896,10244.6896,4.45E-05,0.033347068
134,2004,113884721,8200,water, ,7055.448112,7055.448112,2.53E-06,0.022416143
135,2009,113884727,8200,water, ,5055.597808,5055.597808,5.36E-06,0.016064064
136,2010,113884728,8200,water, ,4489.091694,4489.091694,5.77E-06,0.014340002
137,2011,113884809,8200,water, ,4017.223952,4017.223952,2.86E-06,0.011926311
138,2014,113884871,8221,wetland, ,7377.972936,7377.972936,1.43E-05,0.024952461
139,2018,3280946,8200,water, ,263557.0537,263557.0537,0.001279704,0.818937851
140,2019,114003315,8202,river, ,35316.85815,35316.85815,1.06E-05,0.111298378
141,2020,114003325,8202,river, ,9010.647397,9010.647397,1.74E-06,0.028190707
142,2021,114003329,8202,river, ,31733.65835,31733.65835,9.41E-06,0.101000591
143,2022,114003740,8202,river, ,22127.51209,22127.51209,8.98E-06,0.067267917
144,2023,114004317,8202,river, ,66815.96342,66815.96342,1.92E-05,0.215004911
145,2027,114005632,8202,river, ,4070.65614,4070.65614,9.97E-07,0.013162212
146,2036,114005680,8202,river, ,4475.738552,4475.738552,1.10E-06,0.014948214
147,2039,114005701,8202,river, ,5551.336431,5551.336431,1.24E-06,0.018173319
148,2041,114005715,8202,river, ,4067.526889,4067.526889,1.11E-06,0.013107494
149,2042,114005725,8202,river, ,8283.864794,8283.864794,2.42E-06,0.02610673
150,2049,114005742,8202,river, ,28616.85041,28616.85041,2.27E-05,0.089685362
151,2050,114005750,8202,river, ,5841.681542,5841.681542,4.49E-06,0.017858447
152,2053,114009012,8200,water,BaratHaven Lake,4449.953768,4449.953768,6.37E-06,0.014817485
153,2066,115927085,8201,reservoir, ,6368.535552,6368.535552,1.63E-05,0.019581777
154,2078,135607995,8200,water, ,5307.711403,5307.711403,4.78E-06,0.01682805
155,2085,139303161,8200,water,Hulen Lake,5197.866315,5197.866315,7.49E-06,0.016035591
156,2091,145618107,8200,water,Cedar Lake,6947.225423,6947.225423,9.23E-06,0.022099758
157,2094,146280039,8200,water, ,3971.203239,3971.203239,7.75E-06,0.013263429
158,2096,146285388,8200,water, ,4634.710425,4634.710425,1.06E-05,0.013919117
159,2100,147096096,8200,water, ,3543.23284,3543.23284,3.82E-06,0.011590025
160,2102,149421591,8200,water, ,5388.743335,5388.743335,8.70E-06,0.017424788
161,2104,150582632,8202,river, ,5329.166502,5329.166502,5.57E-06,0.017692106
162,2105,150582633,8202,river, ,15876.14618,15876.14618,1.59E-05,0.055422569
163,2109,151230310,8201,reservoir,Lake Sherwood,3867.013771,3867.013771,4.28E-06,0.011950815
