FID,NAME,ACREAGE,SOURCE,NOTES,OWNER,USER_,Shape__Area,Shape__Length
100,BENTON PARK,14.47,EWGCC,DOQed-ok,City,Public,6.05E-06,0.010544286
101,JEFFERSON NATIONAL EXPANSION MEMORIAL,89.2,MOPUB,St.LouisGatewayArch,USA,Public,3.73E-05,0.0278067
102,LINDENWOOD PARK,14.16,EWGCC,DOQed-ok,City,Public,5.92E-06,0.009879399
103,SIOUX PASSAGE COUNTY PARK,194.49,COPAR, ,County,Public,8.16E-05,0.07407134
104,CHAMP COUNTY PARK,98.85,COPAR, ,County,Public,4.15E-05,0.026587635
105,FORT BELLEF0NTAINE COUNTY PARK,31.05,COPAR, ,County,Public,1.30E-05,0.020221244
106,MULLANPHY PARK,10.26,COPAR,OK,City,Public,4.30E-06,0.009120547
107,KOCH PARK,69.51,COPAR,OK,City,Public,2.92E-05,0.027424279
108,BEHLMANN PARK,6.84,COPAR,OK,City,Public,2.87E-06,0.017491356
109,HARRY S. TRUMAN PARK,33.85,COPAR, ,City,Public,1.42E-05,0.028736163
110,QUEEN ANN PARK,8.45,COPAR,RM,City,Public,3.54E-06,0.011000619
111,HOWDERSHELL PARK,9.47,COPAR, ,City,Public,3.97E-06,0.011120778
112,DUCHESNE PARK,9.21,COPAR,OK,City,Public,3.86E-06,0.009985178
113,VETERANS MEMORIAL COUNTY PARK,117.57,COPAR, ,County,Public,4.93E-05,0.029318441
114,MANION PARK,6.14,COPAR,OK,City,Public,2.57E-06,0.007204893
115,LARIMORE COUNTY PARK,22.95,COPAR, ,County,Public,9.62E-06,0.015334283
116,AUBUCHON PARK,5.62,COPAR, ,City,Public,2.35E-06,0.006278406
117,ST. CIN PARK,9.46,COPAR, ,City,Public,3.97E-06,0.009764571
118,BRIDGETON MUNICIPAL ATHLETIC COMPLEX,68.77,COPAR,WB/RM,City,Public,2.88E-05,0.022255621
119,PERSHALL PARK,12.71,COPAR, ,City,Public,5.33E-06,0.011268553
120,PATRICK J. O'CONNOR MEMORIAL PARK,31.37,COPAR,aka:PETERSON,City,Public,1.32E-05,0.017650072
121,FREEBOURN PARK,15.35,COPAR,WB/RM,City,Public,6.43E-06,0.011352428
122,HUDSON PARK,21.95,COPAR, ,City,Public,9.20E-06,0.013372134
123,INDEPENDENCE PARK,9.76,COPAR,RM,City,Public,4.09E-06,0.009231492
124,DELLWOOD CITY PARK,14.11,COPAR, ,City,Public,5.91E-06,0.012733903
125,HENRY KIEL PARK,6.95,COPAR,not 2-Moline Acres?,City,Public,2.91E-06,0.012570142
126,TANGLEWOOD PARK,6.5,COPAR, ,City,Public,2.73E-06,0.006904724
127,WILDERNESS PARK,8.2,COPAR, ,City,Public,3.43E-06,0.018702202
128,WAYSIDE PARK,8.69,COPAR, ,City,Public,3.64E-06,0.01853816
129,FORESTWOOD PARK,29.76,COPAR,PLUS,City,Public,1.25E-05,0.027935092
130,HELLEBUSH PARK,8.08,COPAR, ,City,Public,3.39E-06,0.008748398
131,RUSSELL PARK,15.51,COPAR, ,City,Public,6.50E-06,0.010785054
